ngram,freq,ant,joy,tru,fea,sur,sad,dis,ang,none,max.value,max.prop
여자/NNG;와/JKB;사귀/VV,1,0,0,0,0,0,0,0,0,1,none,1
예상/NNG;하/XSV;지/EC,1,0,0,0,1,0,0,0,0,0,fea,1
옛/MM;시절/NNG;추억/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
와/JC;관심/NNG;이/JKS,1,1,0,0,0,0,0,0,0,0,ant,1
와/JKB;사귀/VV;고/EC,1,0,0,0,0,0,0,0,0,1,none,1
우려/NNG;가/JKS;있/VV,1,0,0,0,1,0,0,0,0,0,fea,1
우려/NNG;를/JKO;하/VV,1,0,0,0,1,0,0,0,0,0,fea,1
우려/NNG;의/JKG;목소리/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
우정/NNG;으로/JKB;하나/NR,1,0,0,1,0,0,0,0,0,0,tru,1
웃/VV;다/EC;울/VV,1,0,1,0,0,0,0.5,0,0,0,joy,1
위기감/NNG;에/JKB;사로잡히/VV,1,0,0,0,1,0,0,0,0,0,fea,1
유감/NNG;스럽/XSA;기/ETN,1,0,0,0,0,0,1,0,0.5,0,sad,1
으로/JKB;가슴/NNG;이/JKS,1,0,0,0,0,0,0,0,0,1,none,1
으로/JKB;멀/VA;게/EC,1,0,0,0,0,0,1,0,0,0,sad,1
으로/JKB;숨/VV;어/EC,2,0,0,0,1,0,0,0,0,0,fea,1
으로/JKB;하나/NR;를/JKO,1,0,0,1,0,0,0,0,0,0,tru,1
은/JX;다른/MM;곳/NNG,1,1,0,0,0,0,0,0,0,0,ant,1
을/JKO;닫/VV;아/EC,1,0,0,0,0,0,1,0,0,0,sad,1
의/JKG;목소리/NNG;가/JKS,1,0,0,0,0,0,0,0,0,1,none,1
의/JKG;목소리/NNG;도/JX,1,0,0,0,0,0,0,0,0,1,none,1
의/JKG;사랑/NNG;은/JX,1,0,1,0.5,0,0,0,0,0,0,joy,1
의/JKG;쓸쓸/XR;하/XSA,1,0,0,0,0,0,1,0.5,0,0,sad,1
의/JKG;편안/NNG;하/XSA,1,0,1,0,0,0,0,0,0,0,joy,1
의/JKG;한계/NNG;를/JKO,1,0,0,0,0,0,1,0,0.5,0,sad,1
이*/JKS;새/VV;도록/EC,1,0.5,1,0,0,0,0,0,0,0,joy,1
이/JKC;아니/VCN;ㄹ/ETM,1,0,0,0,1,0,0,0,0,0,fea,1
이/JKS;각별/XR;하/XSA,1,0,0,1,0,0,0,0,0,0,tru,1
이/JKS;동/NNG;그렇/VA,1,0,0,0,0,1,0,0,0,0,sur,1
이/JKS;뒤섞이/VV;ㄴ/ETM,1,0,0,0,0,0,0,0,0,1,none,1
이/JKS;모으/VV;아/EC,1,0,0,1,0,0,0,0,0,0,tru,1
이/JKS;상쾌/XR;하/XSA,1,0,1,0,0,0,0,0,0,0,joy,1
이/JKS;쏴아아/MAG;열리/VV,1,0,1,0,0,0,0,0,0,0,joy,1
이/JKS;씁쓸/XR;하/XSA,1,0,0,0,0,0,1,0.5,0,0,sad,1
이/VCP;ㄴ/ETM;사랑/NNG,1,0,1,0.5,0,0,0,0,0,0,joy,1
이루/MAG;말/NNG;하/XSV,2,0,0,0,0,0,1,0,0,0,sad,1
이리/MAG;사랑/NNG;하/XSV,1,0,1,0.5,0,0,0,0,0,0,joy,1
이상/NNG;보/VV;ㄹ/ETM,1,0,0,0,0,0,1,0,0.5,0,sad,1
일/NNG;이/JKC;아니/VCN,1,0,0,0,0,0,0,0.5,1,0,ang,1
장난/NNG;을/JKO;치/VV,1,0,1,0,0,0,0,0,0,0,joy,1
적/XSN;궁핍/NNG;의/JKG,1,0,0,0,0,0,1,0,0,0,sad,1
적/XSN;으로/JKB;멀/VA,1,0,0,0,0,0,1,0,0,0,sad,1
전혀/MAG;거리낌/NNG;없이/MAG,1,0,0,1,0,0,0,0,0,0,tru,1
전혀/MAG;아랑곳/NNG;하/XSV,1,0,0,0,0,0,0,0,0,1,none,1
절망감/NNG;에/JKB;휩싸이/VV,1,0,0,0,0,0,1,0,0.5,0,sad,1
정말/MAG;감사/NNG;하/XSV,1,0,1,0.5,0,0,0,0,0,0,joy,1
정말/MAG;꿈/NNG;만/JX,1,0.5,1,0,0,0,0,0,0,0,joy,1
조건/NNG;적/XSN;이/VCP,1,0,0,1,0,0,0,0,0,0,tru,1
좋/VA;아/EC;하/VX,2,0,1,0.5,0,0,0,0,0,0,joy,1
즐겁/VA;게/EC;만들/VV,1,0,1,0,0,0,0,0,0,0,joy,1
지내/VV;는/ETM;철이/NNP,1,0,0,0,0,0,0,0,0,1,none,1
짝/NNG;이/JKS;없/VA,1,0,0,0,0,0,0.5,1,0,0,dis,1
착잡/XR;하/XSA;ㄴ/ETM,1,0,0,0,0,0,1,0,0,0,sad,1
철이/NNP;를/JKO;더/MAG,1,0,0,0,0,0,0,0,0,1,none,1
촉촉/XR;하/XSA;아/EC,1,0,0,0,0,0,0,0,0,1,none,1
친근감/NNG;이/JKS;들/VV,1,0,0.5,1,0,0,0,0,0,0,tru,1
캄캄/XR;하/XSA;ㄴ/ETM,1,0,0,0,1,0,0,0,0,0,fea,1
크/VA;ㄴ/ETM;즐거움/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
편안/NNG;하/XSA;ㅁ/ETN,1,0,1,0,0,0,0,0,0,0,joy,1
하/VV;았/EP;다는/ETM,1,0,0,0,0,0,0,0,0,1,none,1
하/XSA;게/EC;여기/VV,2,0,0,0,0,0,0,0,0,1,none,1
하/XSA;ㄴ/ETM;심회/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
하/XSA;ㄴ/ETM;절망/NNG,1,0,0,0,0,0,1,0,0.5,0,sad,1
하/XSA;ㅁ/ETN;과/JC,1,0,0,0,0,0,0,0,0,1,none,1
하/XSA;ㅁ/ETN;을/JKO,2,0,0,0,0,0,0,0,0,1,none,1
하/XSA;ㅁ/ETN;이/JKS,2,0,0,0,0,0,0,0,0,1,none,1
하/XSA;아/EC;하/VX,1,0,0,0,0,0,0,0,0,1,none,1
하나/NR;를/JKO;이루/VV,1,0,1,0.5,0,0,0,0,0,0,joy,1
한계/NNG;를/JKO;맛보/VV,1,0,0,0,0,0,1,0,0.5,0,sad,1
함성/NNG;을/JKO;지르/VV,1,0,1,0,0,0,0,0,0,0,joy,1
해방감/NNG;을/JKO;느끼/VV,1,0,1,0,0,0,0,0,0,0,joy,1
행복/NNG;을/JKO;찾/VV,1,0,1,0,0,0,0,0,0,0,joy,1
행복/NNG;하/XSA;지/EC,1,0,0,0,0,0,1,0,0,0,sad,1
허리/NNG;가/JKS;꺾이/VV,1,0,0,0,0,0,1,0,0,0,sad,1
